ID,LICENSE ID,LEGAL_NAME,DOING_BUSINESS_AS_NAME,ADDRESS,CITY,STATE,ZIP CODE
2087610-20110518,2087610,"LMP SERVICES, INC.",CUPCAKES FOR COURAGE,110 W PARK AVE,ELMHURST,IL,60126
2060558-20110524,2060558,"BERGSTEIN'S NY DELICATESSEN, LLC","BERGSTEIN'S NY DELICATESSEN, LLC",200  DIXIE HWY 1ST F,CHICAGO HEIGHTS,IL,60411
2037166-20120616,2151139,ABUNDANT FOOD INCORPORATED,ABUNDANT RESTAURANT,17429  CENTER ST,EAST HAZEL CREST,IL,60429
2141634-20120329,2141634,"BUDDY'S SPECIAL EVENTS, INC.","BUDDY'S SPECIAL EVENTS, INC.",900  GLENCOE TER,LAKE ZURICH,IL,60047
2142274-20120521,2142274,K INTERCONTINENTAL RESTAURANT/BAR INC.,K I BAR & RESTAURANT,417 S BARTLETT RD,STREAMWOOD,IL,60107
2021564-20110716,2097830,CHERYL L SMITH,CHERYL L SMITH,250 1/2  CHICAGO AVE,OAK PARK,IL,60302
2114284-20120418,2114284,LET' S EAT VENTURES LLC,SAMICH BOX,6233 W ROOSEVELT RD,BERWYN,IL,60402
2108825-20110810,2108825,Eirgo Inc,Homage Street Food,6873 N MILWAUKEE AVE,NILES,IL,60714
2110016-20111005,2110016,PECAN AND CHARLIE'S MOBILE CUPCAKERY LLC,PECAN AND CHARLIE'S MOBILE CUPCAKERY LLC,26  CALENDAR AVE,LA GRANGE,IL,60525
2124638-20111102,2124638,"STEAKW' CH, INC.","STEAKW' CH, INC.",67  EISENHOWER LN SOUTH  1ST,LOMBARD,IL,60148
2103981-20110816,2103981,"SWEETIE CAKES , INC.",SWEETIE CAKES,14911  BELL RD,HOMER GLEN,IL,60491
2133782-20120109,2133782,"GIAVIA SWEETS, LLC",GIAVIA SWEETS,1448  GLENCOE AVE,HIGHLAND PARK,IL,60035
2147045-20120405,2147045,"SOUPS IN THE LOOP, LLC",SOUPS IN THE LOOP,2777  MANNHEIM RD,DES PLAINES,IL,60018
2896060-20230525,2896060,"CRJ ENTERPRISES, LLC",FS FOOD GROUP LLC,135 N KEDZIE AVE,CHICAGO,IL,60612
2495679-20161128,2495679,"CARNITAS,CHELAS AND CHICAS COMPANY #11",PALETERIA Y NEVERIA LA MEXICANA YOGURT AND CHURRO SHOP LTD.,4171 S ARCHER AVE 1,CHICAGO,IL,60632
2641551-20190426,2641551,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2541791-20180529,2541791,WRAP TRUCK LLC,WRAP IT UP,2300 S THROOP ST,CHICAGO,IL,60608
2211595-20170316,2509713,"PALETERIA BELMONT, INC.",ARCO IRIS,2950 W BELMONT AVE 1 1,CHICAGO,IL,60618
2314224-20140311,2314224,NEIGHBOR CAPITAL LLC,Neighbor Capital,20 W VAN BUREN ST,CHICAGO,IL,60605
2252826-,2252826,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2827287-20230716,2910296,ALEX'S CATERING CORP,ALEX CATERING,1204 W 36TH PL,CHICAGO,IL,60609
2528402-20170518,2528402,"KATE & JAN, CORP.",KATE & JAN HOT DOGS,324 N LEAVITT ST,CHICAGO,IL,60612
2738073-20230716,2910299,ALEX'S CATERING CORP,ALEX'S CATERING,1204 W 36TH ST,CHICAGO,IL,60609
2211468-20121229,2211468,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2252804-20140316,2314993,RAUL MARTINEZ,PALETEIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2641558-20191016,2687378,ERNESTO OZUNA,TAMALES Y RESTAURANT COSTA,10148 S EWING AVE,CHICAGO,IL,60617
2211455-20150916,2414786,"ISLA TROPICAL, INC.",ISLA TROPICAL,2335 N CICERO AVE,CHICAGO,IL,60639
2245995-20130816,2268876,"PALETERIA OSO POLAR, INC.",PALETERIA OSO POLAR,6538 N CLARK ST 1 1,CHICAGO,IL,60626
2938487-20231221,2938487,"TAMALES DONA CONCHA CORP.,",TAMALES Y TACOS DONA CONCHA,2300 S THROOP ST,CHICAGO,IL,60608
2689016-20190830,2689016,ESTHER'S ICE CREAM LLC,ESTHER'S ICE CREAM,324 N LEAVITT ST,CHICAGO,IL,60612
2333493-20150902,2333493,TAQUERIA LOS PATRONCITOS CO.,LA PATRONA,2637 S THROOP ST,CHICAGO,IL,60608
2211539-20131216,2292393,"PUEBLA ICE CREAM, INC.",PUEBLA ICE CREAM,4601 N ELSTON AVE 1,CHICAGO,IL,60630
2211523-20150916,2416312,JUAN MONTOYA,FRUTYLAND,4610 N KEDZIE AVE 1ST,CHICAGO,IL,60625
2252825-,2252825,RAUL MARTINEZ,PALETERIA AYUTLA,2404 W 46TH PL,CHICAGO,IL,60632
2470451-20240516,2959907,YOLIS TAMALES LLC,YOLIS TAMALES,5002 S WESTERN AVE 1ST,CHICAGO,IL,60609
2583488-20190726,2583488,CARMEN NAVA-NAJERA,CARMEN NAVA,3654 W 16TH ST 1ST,CHICAGO,IL,60623
2608405-20180719,2608405,"ITSAPOP, LLC","ITSAPOP, LLC",324 N LEAVITT ST  100,CHICAGO,IL,60612
